ene,k
95.0965,168426756.
95.1251,169275733.
95.1537,170104824.
95.1823,170911557.
95.2109,171719473.
95.2395,172537788.
95.268,173372481.
95.2966,174224265.
95.3252,175079572.
95.3538,175921427.
95.3824,176762496.
95.411,177602317.
95.4396,178441161.
95.4682,179294108.
95.4968,180166544.
95.5254,181048832.
95.554,181908720.
95.5826,182759724.
95.6112,183614099.
95.6397,184482216.
95.6683,185385126.
95.6969,186296296.
95.7255,187182692.
95.7541,188051642.
95.7827,188925056.
95.8113,189815450.
95.8399,190718315.
95.8685,191636484.
95.8971,192555391.
95.9257,193462546.
95.9543,194368471.
95.9828,195272858.
96.0114,196181472.
96.04,197106052.
96.0686,198052746.
96.0972,198996545.
96.1258,199920490.
96.1544,200837986.
96.183,201762977.
96.2116,202708885.
96.2402,203685611.
96.2688,204657857.
96.2974,205607507.
96.3259,206543906.
96.3545,207487863.
96.3831,208450725.
96.4117,209429062.
96.4403,210417756.
96.4689,211403077.
96.4975,212378684.
96.5261,213353581.
96.5547,214327976.
96.5833,215310055.
96.6119,216314145.
96.6405,217333053.
96.669,218342405.
96.6976,219334797.
96.7262,220324021.
96.7548,221324004.
96.7834,222352680.
96.812,223400181.
96.8406,224437967.
96.8692,225454047.
96.8978,226464188.
96.9264,227484858.
96.955,228525091.
96.9836,229582231.
97.0122,230644863.
97.0407,231699424.
97.0693,232749681.
97.0979,233800166.
97.1265,234847092.
97.1551,235908935.
97.1837,236993932.
97.2123,238085876.
97.2409,239164581.
97.2695,240230489.
97.2981,241293872.
97.3267,242374083.
97.3553,243488255.
97.3838,244612976.
97.4124,245718768.
97.441,246807208.
97.4696,247894672.
97.4982,248998483.
97.5268,250118597.
97.5554,251258186.
97.584,252397845.
97.6126,253525006.
97.6412,254656806.
97.6698,255782214.
97.6984,256910901.
97.7269,258054781.
97.7555,259222084.
97.7841,260390364.
97.8127,261541712.
97.8413,262685437.
97.8699,263830583.
97.8985,264999243.
97.9271,266201473.
97.9557,267402937.
97.9843,268582318.
98.0129,269747286.
98.0415,270923219.
98.0701,272110819.
98.0986,273317432.
98.1272,274540313.
98.1558,275757131.
98.1844,276966189.
98.213,278176839.
98.2416,279383832.
98.2702,280595632.
98.2988,281831023.
98.3274,283083612.
98.356,284333054.
98.3846,285561577.
98.4132,286787072.
98.4417,288022126.
98.4703,289283549.
98.4989,290573761.
98.5275,291854848.
98.5561,293111805.
98.5847,294364087.
98.6133,295627802.
98.6419,296907802.
98.6705,298201783.
98.6991,299508102.
98.7277,300808319.
98.7563,302104734.
98.7848,303399831.
98.8134,304691125.
98.842,305996622.
98.8706,307323674.
98.8992,308666735.
98.9278,309997044.
98.9564,311311271.
98.985,312625141.
99.0136,313954309.
99.0422,315314551.
99.0708,316693483.
99.0994,318055283.
99.1279,319397325.
99.1565,320739244.
99.1851,322094354.
99.2137,323468436.
99.2423,324858873.
99.2709,326252924.
99.2995,327642587.
99.3281,329029915.
99.3567,330411321.
99.3853,331796715.
99.4139,333198621.
99.4425,334624917.
99.4711,336056937.
99.4996,337473987.
99.5282,338878724.
99.5568,340287418.
99.5854,341716567.
99.614,343179128.
99.6426,344643339.
99.6712,346091815.
99.6998,347526321.
99.7284,348964895.
99.757,350417392.
99.7856,351890077.
99.8142,353378514.
99.8427,354864288.
99.8713,356348424.
99.8999,357830821.
99.9285,359307037.
99.9571,360789901.
99.9857,362295090.
100.014,363823100.
100.043,365346345.
100.071,366853431.
100.1,368356304.
100.129,369860916.
100.157,371397885.
100.186,372962330.
100.214,374521081.
100.243,376059585.
100.272,377593177.
100.3,379132406.
100.329,380689017.
100.357,382265200.
100.386,383854312.
100.415,385439097.
100.443,387019933.
100.472,388602328.
100.5,390177840.
100.529,391764230.
100.558,393376814.
100.586,395005877.
100.615,396625794.
100.643,398231058.
100.672,399834456.
100.701,401446718.
100.729,403093598.
100.758,404763642.
100.786,406417481.
100.815,408055996.
100.843,409690983.
100.872,411340696.
100.901,413004364.
100.929,414688149.
100.958,416383240.
100.986,418068186.
101.015,419753138.
101.044,421436064.
101.072,423117968.
101.101,424813777.
101.129,426538466.
101.158,428273132.
101.187,429992644.
101.215,431700978.
101.244,433410552.
101.272,435140561.
101.301,436903033.
101.33,438676147.
101.358,440434442.
101.387,442174474.
101.415,443921913.
101.444,445683392.
101.472,447461352.
101.501,449254520.
101.53,451054766.
101.558,452851065.
101.587,454644207.
101.615,456434148.
101.644,458226374.
101.673,460040831.
101.701,461879254.
101.73,463722950.
101.758,465549071.
101.787,467365789.
101.816,469189917.
101.844,471041630.
101.873,472920987.
101.901,474802940.
101.93,476667312.
101.959,478519244.
101.987,480380587.
102.016,482258910.
102.044,484154874.
102.073,486064829.
102.102,487975189.
102.13,489886243.
102.159,491792153.
102.187,493692577.
102.216,495607959.
102.244,497544627.
102.273,499502379.
102.302,501456023.
102.33,503395672.
102.359,505326710.
102.387,507273208.
102.416,509251339.
102.445,511250107.
102.473,513240889.
102.502,515217568.
102.53,517189883.
102.559,519171974.
102.588,521171310.
102.616,523192114.
102.645,525221373.
102.673,527248683.
102.702,529278636.
102.731,531302059.
102.759,533322594.
102.788,535362775.
102.816,537428441.
102.845,539507164.
102.873,541576653.
102.902,543632068.
102.931,545688652.
102.959,547759906.
102.988,549870086.
103.016,551990191.
103.045,554097425.
103.074,556192029.
103.102,558290688.
103.131,560400179.
103.159,562527466.
103.188,564676243.
103.217,566829008.
103.245,568980935.
103.274,571134021.
103.302,573280670.
103.331,575428939.
103.36,577598951.
103.388,579796547.
103.417,581999005.
103.445,584187276.
103.474,586368876.
103.503,588553119.
103.531,590762266.
103.56,593002779.
103.588,595251884.
103.617,597479402.
103.645,599700870.
103.674,601929698.
103.703,604172685.
103.731,606434471.
103.76,608713334.
103.788,610998377.
103.817,613278025.
103.846,615556891.
103.874,617833540.
103.903,620115998.
103.931,622423062.
103.96,624755804.
103.989,627086871.
104.017,629400937.
104.046,631712105.
104.074,634034984.
104.103,636385756.
104.132,638763425.
104.16,641137390.
104.189,643497959.
104.217,645850517.
104.246,648218537.
104.274,650601280.
104.303,653001212.
104.332,655414135.
104.36,657831467.
104.389,660247983.
104.417,662658251.
104.446,665071184.
104.475,667495304.
104.503,669946051.
104.532,672417135.
104.56,674880427.
104.589,677329198.
104.618,679776974.
104.646,682244412.
104.675,684743893.
104.703,687257859.
104.732,689767400.
104.761,692262797.
104.789,694756681.
104.818,697265099.
104.846,699793273.
104.875,702336098.
104.904,704890402.
104.932,707447866.
104.961,710004028.
104.989,712553711.
105.018,715105623.
105.046,717681153.
105.075,720279925.
105.104,722892049.
105.132,725493545.
105.161,728084615.
105.189,730677143.
105.218,733296535.
105.247,735947516.
105.275,738602470.
105.304,741248547.
105.332,743887418.
105.361,746529580.
105.39,749186988.
105.418,751863132.
105.447,754558063.
105.475,757257548.
105.504,759959115.
105.533,762660972.
105.561,765356301.
105.59,768059140.
105.618,770788358.
105.647,773542411.
105.675,776297149.
105.704,779043527.
105.733,781780255.
105.761,784527916.
105.79,787302848.
105.818,790108170.
105.847,792911183.
105.876,795701162.
105.904,798489529.
105.933,801287626.
105.961,804098769.
105.99,806930124.
106.019,809779518.
106.047,812631413.
106.076,815483962.
106.104,818338088.
106.133,821185882.
106.162,824045687.
106.19,826934903.
106.219,829844870.
106.247,832750925.
106.276,835643723.
106.305,838539683.
106.333,841446027.
106.362,844385103.
106.39,847344828.
106.419,850303277.
106.447,853243698.
106.476,856188864.
106.505,859149252.
